Fecha;Tmax;Tmin
1/1/00;16.0;1.6
2/1/00;14.5;2.2
3/1/00;15.0;5.0
4/1/00;16.6;3.0
5/1/00;15.8;2.6
6/1/00;15.6;0.4
7/1/00;15.4;1.4
8/1/00;14.2;1.8
9/1/00;14.5;4.0
10/1/00;11.2;6.8
11/1/00;12.7;4.2
12/1/00;15.5;2.2
13/1/00;13.8;1.4
14/1/00;9.8;3.8
15/1/00;13.4;2.5
16/1/00;12.6;6.4
17/1/00;17.0;4.2
18/1/00;18.5;1.8
19/1/00;15.6;4.2
20/1/00;13.7;5.6
21/1/00;14.5;2.2
22/1/00;14.2;0.8
23/1/00;15.0;1.8
24/1/00;12.3;0.5
25/1/00;11.0;-0.4
26/1/00;12.2;2.6
27/1/00;13.2;6.4
28/1/00;15.5;5.6
29/1/00;18.0;3.2
30/1/00;22.6;5.6
31/1/00;18.4;5.0
1/2/00;25.0;5.4
2/2/00;23.6;12.0
3/2/00;24.0;8.4
4/2/00;21.0;5.2
5/2/00;18.2;3.0
6/2/00;16.5;3.6
7/2/00;22.4;6.4
8/2/00;24.7;8.8
9/2/00;22.5;8.2
10/2/00;22.2;5.0
11/2/00;21.2;7.6
12/2/00;17.5;6.8
13/2/00;18.7;2.8
14/2/00;22.2;11.0
15/2/00;21.0;8.4
16/2/00;23.2;9.4
17/2/00;23.8;9.4
18/2/00;24.0;10.4
19/2/00;26.2;10.4
20/2/00;18.0;8.0
21/2/00;18.6;8.8
22/2/00;16.5;7.0
23/2/00;19.0;6.2
24/2/00;19.0;8.2
25/2/00;18.8;5.6
26/2/00;18.5;6.8
27/2/00;17.8;4.4
28/2/00;16.6;6.0
29/2/00;19.0;9.6
1/3/00;25.7;9.2
2/3/00;19.2;6.0
3/3/00;19.5;3.5
4/3/00;23.0;5.0
5/3/00;18.5;7.0
6/3/00;18.4;8.6
7/3/00;18.5;7.2
8/3/00;19.5;7.0
9/3/00;23.3;7.2
10/3/00;23.8;8.6
11/3/00;23.5;8.2
12/3/00;20.5;9.6
13/3/00;17.5;8.0
14/3/00;19.2;10.8
15/3/00;25.8;8.5
16/3/00;18.0;8.8
17/3/00;23.0;6.8
18/3/00;22.0;7.4
19/3/00;18.0;8.6
20/3/00;12.6;10.4
21/3/00;16.2;10.8
22/3/00;14.6;12.8
23/3/00;19.8;12.4
24/3/00;20.5;8.8
25/3/00;22.4;9.0
26/3/00;21.5;8.8
27/3/00;24.2;9.2
28/3/00;16.0;7.0
29/3/00;18.8;4.4
30/3/00;18.5;6.5
31/3/00;22.0;10.4
1/4/00;19.6;10.4
2/4/00;17.8;12.6
3/4/00;21.5;10.4
4/4/00;20.5;9.8
5/4/00;20.6;9.6
6/4/00;18.6;7.0
7/4/00;17.6;8.6
8/4/00;14.8;11.0
9/4/00;20.2;10.4
10/4/00;21.8;10.8
11/4/00;22.6;10.0
12/4/00;20.4;12.6
13/4/00;23.0;12.4
14/4/00;25.3;12.6
15/4/00;20.6;9.4
16/4/00;19.0;11.4
17/4/00;21.8;11.4
18/4/00;22.0;12.8
19/4/00;26.5;17.2
20/4/00;28.6;15.6
21/4/00;28.8;16.0
22/4/00;25.6;12.6
23/4/00;23.0;12.8
24/4/00;27.0;11.8
25/4/00;24.0;11.6
26/4/00;21.5;11.6
27/4/00;22.1;12.6
28/4/00;21.6;9.6
29/4/00;20.4;8.6
30/4/00;18.6;13.2
1/5/00;19.6;11.4
2/5/00;22.6;11.6
3/5/00;22.0;12.4
4/5/00;24.0;14.5
5/5/00;23.0;15.4
6/5/00;22.4;12.4
7/5/00;23.2;14.8
8/5/00;22.8;13.5
9/5/00;23.6;14.5
10/5/00;25.0;14.2
11/5/00;26.0;14.4
12/5/00;22.6;14.4
13/5/00;26.0;13.6
14/5/00;27.0;14.0
15/5/00;26.5;13.8
16/5/00;26.0;14.4
17/5/00;26.5;15.0
18/5/00;26.5;15.4
19/5/00;24.5;17.0
20/5/00;24.8;16.8
21/5/00;21.8;17.8
22/5/00;25.3;15.6
23/5/00;25.8;17.4
24/5/00;27.4;18.0
25/5/00;29.5;18.3
26/5/00;28.5;19.4
27/5/00;26.3;19.0
28/5/00;34.0;16.8
29/5/00;33.0;20.5
30/5/00;29.2;21.2
31/5/00;29.0;20.0
1/6/00;29.0;19.8
2/6/00;30.0;20.5
3/6/00;27.4;18.8
4/6/00;27.6;19.0
5/6/00;30.6;17.8
6/6/00;26.5;17.4
7/6/00;26.6;14.6
8/6/00;27.0;15.4
9/6/00;25.7;16.2
10/6/00;21.2;14.0
11/6/00;28.4;15.4
12/6/00;26.0;15.4
13/6/00;27.8;16.6
14/6/00;28.5;18.4
15/6/00;31.0;18.0
16/6/00;35.0;20.2
17/6/00;33.4;21.2
18/6/00;25.5;19.5
19/6/00;27.8;19.4
20/6/00;27.0;17.0
21/6/00;27.6;18.4
22/6/00;27.8;18.8
23/6/00;27.5;20.8
24/6/00;26.5;21.3
25/6/00;27.6;21.0
26/6/00;27.5;21.0
27/6/00;32.0;19.6
28/6/00;29.6;19.4
29/6/00;29.8;21.2
30/6/00;29.4;20.2
1/7/00;29.5;20.6
2/7/00;29.7;22.2
3/7/00;37.2;22.2
4/7/00;32.3;23.0
5/7/00;29.0;21.6
6/7/00;30.3;21.0
7/7/00;40.5;20.0
8/7/00;29.5;23.6
9/7/00;29.5;21.0
10/7/00;35.0;20.4
11/7/00;27.2;20.2
12/7/00;27.8;17.8
13/7/00;28.5;17.0
14/7/00;33.4;18.8
15/7/00;31.5;22.2
16/7/00;27.0;20.7
17/7/00;27.6;22.0
18/7/00;28.2;19.0
19/7/00;29.0;18.5
20/7/00;28.6;21.7
21/7/00;30.0;19.2
22/7/00;30.5;19.8
23/7/00;29.4;22.0
24/7/00;34.6;19.2
25/7/00;36.0;21.6
26/7/00;34.5;23.0
27/7/00;30.2;21.2
28/7/00;30.0;21.0
29/7/00;30.4;21.8
30/7/00;29.6;20.0
31/7/00;30.5;19.0
1/8/00;29.0;20.5
2/8/00;31.0;21.0
3/8/00;29.0;21.4
4/8/00;28.5;19.4
5/8/00;28.4;17.8
6/8/00;28.5;16.4
7/8/00;30.0;17.6
8/8/00;31.8;17.6
9/8/00;32.8;17.6
10/8/00;32.3;18.4
11/8/00;30.2;19.5
12/8/00;30.7;20.2
13/8/00;31.6;20.0
14/8/00;31.8;20.4
15/8/00;31.2;21.0
16/8/00;31.8;19.4
17/8/00;32.6;19.5
18/8/00;30.6;20.2
19/8/00;31.3;19.8
20/8/00;37.0;20.5
21/8/00;37.0;22.7
22/8/00;29.5;21.0
23/8/00;31.8;21.5
24/8/00;30.5;23.4
25/8/00;30.6;22.0
26/8/00;36.7;23.2
27/8/00;30.0;20.4
28/8/00;29.9;21.6
29/8/00;29.4;20.3
30/8/00;30.2;21.2
31/8/00;29.3;22.0
1/9/00;30.6;20.0
2/9/00;29.0;21.4
3/9/00;30.0;20.4
4/9/00;27.3;21.2
5/9/00;29.5;18.2
6/9/00;31.0;17.5
7/9/00;32.2;18.0
8/9/00;29.0;19.2
9/9/00;28.8;18.0
10/9/00;29.2;18.2
11/9/00;28.5;17.4
12/9/00;29.4;17.5
13/9/00;29.1;17.5
14/9/00;29.6;18.2
15/9/00;32.1;18.2
16/9/00;31.5;18.8
17/9/00;30.4;18.4
18/9/00;28.5;21.2
19/9/00;30.8;20.2
20/9/00;27.0;17.0
21/9/00;26.2;12.5
22/9/00;27.0;13.8
23/9/00;27.5;15.0
24/9/00;27.0;17.0
25/9/00;27.5;17.8
26/9/00;27.5;18.2
27/9/00;27.2;17.8
28/9/00;28.0;16.6
29/9/00;26.6;17.2
30/9/00;25.8;15.4
1/10/00;26.2;13.2
2/10/00;29.5;17.6
3/10/00;29.3;14.8
4/10/00;27.0;13.6
5/10/00;25.3;15.0
6/10/00;25.0;15.8
7/10/00;23.5;14.4
8/10/00;27.5;12.0
9/10/00;26.5;13.0
10/10/00;28.0;15.2
11/10/00;26.0;19.0
12/10/00;20.4;14.8
13/10/00;22.0;10.0
14/10/00;21.0;12.4
15/10/00;23.5;11.0
16/10/00;25.2;12.6
17/10/00;24.3;13.8
18/10/00;26.6;10.6
19/10/00;27.5;12.0
20/10/00;23.5;12.6
21/10/00;23.0;18.2
22/10/00;21.0;15.6
23/10/00;16.4;15.0
24/10/00;16.7;14.6
25/10/00;21.5;14.5
26/10/00;23.7;13.7
27/10/00;24.4;13.4
28/10/00;25.4;13.2
29/10/00;23.5;13.1
30/10/00;23.9;12.5
31/10/00;22.0;11.8
1/11/00;20.6;8.4
2/11/00;23.0;12.4
3/11/00;20.5;10.2
4/11/00;20.0;7.0
5/11/00;18.2;10.0
6/11/00;21.5;13.2
7/11/00;17.2;10.0
8/11/00;16.4;8.0
9/11/00;18.5;6.4
10/11/00;17.0;6.0
11/11/00;16.2;9.0
12/11/00;21.9;11.2
13/11/00;18.8;10.2
14/11/00;17.5;9.0
15/11/00;15.6;7.4
16/11/00;18.0;5.0
17/11/00;17.4;9.0
18/11/00;20.0;7.0
19/11/00;20.5;8.4
20/11/00;16.8;10.8
21/11/00;19.2;7.4
22/11/00;20.8;11.8
23/11/00;23.4;12.6
24/11/00;17.2;7.8
25/11/00;21.5;8.6
26/11/00;25.0;16.3
27/11/00;23.6;12.8
28/11/00;19.5;9.0
29/11/00;15.7;12.4
30/11/00;20.0;11.0
1/12/00;20.3;9.4
2/12/00;20.0;9.8
3/12/00;19.2;8.8
4/12/00;21.5;10.6
5/12/00;15.7;7.0
6/12/00;20.5;11.4
7/12/00;16.6;11.0
8/12/00;21.7;11.2
9/12/00;19.0;9.2
10/12/00;20.5;7.5
11/12/00;20.0;7.5
12/12/00;23.3;5.2
13/12/00;23.2;8.6
14/12/00;20.4;5.4
15/12/00;18.4;7.2
16/12/00;16.4;3.4
17/12/00;17.0;1.4
18/12/00;20.6;6.2
19/12/00;17.2;5.2
20/12/00;15.0;6.6
21/12/00;16.4;8.0
22/12/00;14.5;8.2
23/12/00;17.0;9.0
